Salary Cap Values
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Wan'Dale Robinson (WR - TEN),9,$6,,,,,,,,,,,,,,,,Kevin Coleman Jr. - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson (TE - DAL),14,$6,,,,,,,,,,,,,,,,Zavion Thomas - CHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Likely (TE - NYG),8,$6,,,,,,,,,,,,,,,,Jack Bech - LV,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews (TE - BAL),13,$6,,,,,,,,,,,,,,,,Ashton Dulin - IND,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Herbert (QB - LAC),7,$5,,,,,,,,,,,,,,,,Darnell Mooney - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bo Nix (QB - DEN),10,$5,,,,,,,,,,,,,,,,KaVontae Turpin - DAL,14,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Marks (RB - HOU),8,$5,,,,,,,,,,,,,,,,Devontez Walker - BAL,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Charbonnet (RB - SEA),11,$5,,,,,,,,,,,,,,,,Demarcus Robinson - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson (WR - ARI),14,$5,,,,,,,,,,,,,,,,Jahdae Walker - CHI,10,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed (WR - GB),11,$5,,,,,,,,,,,,,,,,Mack Hollins - NE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers (WR - JAC),7,$5,,,,,,,,,,,,,,,,Christian Kirk - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Godwin Jr. (WR - TB),10,$5,,,,,,,,,,,,,,,,Tank Dell - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
